# chinese,pinyin,english and descriptions
什么都,shen2 me dou1,everything/all (swap 都/也 for negatives only)
龙什么蛋糕都爱吃,long2 shen2 me dan4 gao1 dou1 ai4 chi1,dragons love to eat all kinds of cake
猪什么羽毛都没有,zhu1 shen2 me yu3 mao2 dou1 mei2 you3,pigs lack any kind of feathers (alt. 也)
我什么酒也不想喝,wo3 shen2 me jiu3:2 ye3 bu4 xiang3 he1,i do not want to drink any kind of alcohol (alt. 都)
等，再,deng3 : zai4,wait until ... then
等今天晚上，再偷贵的画,deng3 jin1 tian1 wan3 shang4 : zai4 tou1 gui4 de hua4,wait until tonight then steal expensive paintings
要么，要么,yao4 me : yao4 me,either ... or
你们要么上船，要么离开,ni3 men yao4 me shang4 chuan2 : yao4 me li2 kai1,you either get on the boat or leave
不是，而是,bu4:2 shi4 : er2 shi4,it is not ... it is just/not this ... but that
我不是很生气，而是我有点难过,wo3 bu4:2 shi4 hen3 sheng1 qi4 : er2 shi4 wo3 you3:2 dian3 nan2 guo4,it is not that i am angry it is just that i am a bit sad/i am not angry i am just a bit sad
一方面，一方面,yi1:4 fang1 mian4 : yi1:4 fang1 mian4,on one hand ... on the other hand
一方面他是高富帅，一方面他太喝酒了,yi1:4 fang1 mian4 ta1 shi4 gao1 fu4 shuai4 : yi1:4 fang1 mian4 ta1 tai4 he1 jiu3 le,on one hand he is tall rich and handsome on the other hand he drinks too much
此,ci3,this/these (common in writing)
示,shi4,show/reveal (c. 表示) [礻]
表示,biao3 shi4,express/show/state/indicate
宾,bin1,visitor/guest (c. 宾馆/宾词)
宾馆,bin1 guan3,hotel/lodge/guesthouse
出现,chu1 xian4,appear/show up
敢,gan3,dare (verb)/daring (adj)/may I venture? (polite)
作用,zuo4 yong4,act on/affect
播,bo1,sow/scatter/spread (c. 广播)
广播,guang3 bo1,broadcast (verb and noun)
加油站,jia1 you2 zhan4,gas station
浪费,lang4 fei4,waste/squander
理发,li3 fa4,get a haircut/give a haircut
供,gong1,provide/supply (c. 提供)
提供,ti2 gong1,offer/supply/provide
理想,li3:2 xiang3,ideal/perfect
冷静,leng3 jing4,calm/cool-headed
力气,li4 qi4:,strength
流行,liu2 xing2,spread or propagate (verb)/popular or fashionable (adj)
难受,nan2 shou4,uncomfortable/feel unwell/difficult to bear
内容,nei4 rong2,content/substance/details
能力,neng2 li4,capability/ability
气候,qi4 hou4,climate/atmosphere
任务,ren4 wu4,mission/assignment/task
日记,ri4 ji4,diary/journal
网站,wang3 zhan4,website/network station/node
笑话,xiao4 hua4,joke/jest
心情,xin1 qing2,mood/frame of mind
有趣,you3 qu4,interesting/fascinating
原来,yuan2 lai2,original/former
信息,xin4 xi1,information/message
相同,xiang1 tong2,identical/same
条件,tiao2 jian4,condition/circumstances
解答,jie3 da2,solve or resolve (verb)/solution or answer (noun)
你的内容不原来，但是很有趣,ni3 de nei4 rong2 bu4 yuan2 lai2 : dan4 shi4 hen3:2 you3 qu4,your content is not original but is interesting
我们没有心情听笑话,wo3 men mei2 you3 xin1 qing2 ting1 xiao4 hua4,we are not in the mood to listen to jokes
我的力气让他们很难受,wo3 de li4 qi4 rang4 ta1 men hen3 nan2 shou4,my strength makes them feel unwell
流行的广播提供理想的信息,liu2 xing2 de guang3 bo1 ti2 gong1 li3:2 xiang3 de xin4 xi1,popular broadcasts provide ideal information
相同的日记句子出现在他的网站上,xiang1 tong2 de ri4 ji4 ju4 zi3 chu1 xian4 zai4 ta1 de wang3 zhan4 shang4,an identical diary sentence appears on his website
每周理发是浪费钱,mei3 zhou1 li3 fa4 shi4 lang4 fei4 qian2,weekly haircuts are a waste of money
如果条件变化，就任务期间保持冷静,ru2 guo3 tiao2 jian4 bian4 hua4 : jiu4 ren4 wu4 qi2 jian1 bao3 chi2 leng3 jing4,if conditions change then remain calm during the mission
你相信他们能介绍一些解答吗,ni3 xiang1 xin4 ta1 men neng2 jie4 shao4 yi1:4 xie1 jie3 da2 ma,do you believe they can present some solutions?
请提醒她认真地表示我们的能力,qing3 ti2 xing3 ta1 ren4 zhen1 de biao3 shi4 wo3 men de neng2 li4,please remind her to earnestly express our capabilities
我打算选择一个奇怪的表演,wo3:2 da3 suan4 xuan3 ze2 yi1:2 ge4 qi2 guai4 de biao3:2 yan3,i intend to select a strange performance
为了发财，你必须卖便宜的进口的,wei4 le fa1 cai2 : ni3 bi4 xu1 mai4 pian2 yi2 de jin4 kou3 de,in order to get rich you must sell cheap imported ones
饼干,bing3 gan1,biscuit/cracker/cookie
出生,chu1 sheng1,be born/birth
打印,da3 yin4,print/seal/stamp
得意,de2 yi4,proud of oneself/complacent
地球,di4 qiu2,earth planet
动作,dong4 zuo4,motion/action
对话,dui4 hua4,dialogue/conversation
对面,dui4 mian4,opposite side/face to face
法律,fa3 lv4,law
感情,gan3 qing2,emotion/affection/sentiment/feelings between two people
共同,gong4 tong2,common/joint
节约,jie2 yue1,economize/conserve/frugal
小说,xiao3 shuo1,novel/fiction
学期,xue2 qi1,semester/school term
演出,yan3 chu1,act/perform
阳光,yang2 guang1,sunshine/transparent (open to scrutiny)
正好,zheng4 hao3,just right/just enough/just in time
正常,zheng4 chang2,normal/regular/ordinary (adj)
整理,zheng3:2 li3,arrange/tidy up/straighten out/sort out
总结,zong3 jie2,summarize or conclude (verb)/summary or cv-resume (noun)
左右,zuo3 you4,nearby/approximately
作者,zuo4 zhe3,author of a specific work
作家,zuo4 jia1,author as a general occupation
报名,bao4 ming2,sign up/register/enroll/enlist
本来,ben3 lai2,original/originally/at first
比如,bi3 ru2,for example/for instance/such as
出发,chu1 fa1,set off/start on a journey
道歉,dao4 qian4,apologize
房东,fang2 dong1,landlord
来自,lai2 zi4,come from a place/from: (email header)
难道,nan2 dao4,is it ... ?/could it be that ... ?
实际,shi2 ji4,actual/reality/realistic/practical
通知,tong1 zhi1,notify or inform (verb)/notice or notification (noun)
同时,tong2 shi2,simultaneously/at the same time
同情,tong2 qing2,sympathy (noun and verb)
小吃,xiao3 chi1,snacks/refreshments (alt. 零食)
零食,ling2 shi2,snacks (alt. 小吃)
消息,xiao1 xi1:,news/information
许,xu3,perhaps/allow/permit/promise/praise (c. 也许/许多)
也许,ye3:2 xu3,perhaps/maybe
你在纽约住了多久,ni3 zai4 niu3 yue1 zhu4 le duo1 jiu3,how long have you lived in new york?
事业,shi4 ye4,career/occupation/significant undertaking
设,she4,set up/arrange/establish (c. 设计)
计,ji4,plan/calculate/compute (c. 设计)
设计,she4 ji4,design/plan (verb and noun)
介意,jie4 yi4,care about/take offense/to mind
如果你不介意，我就会通知房东,ru2 guo3 ni3 bu4:2 jie4 yi4 : wo3 jiu4 hui4 tong1 zhi1 fang2 dong1,if you do not mind i will notify the landlord
我应该设计我的小说还是开始新的事业,wo3 ying1 gai1 she4 ji4 wo3 de xiao3 shuo1 hai2 shi4 kai1 shi3 xin1 de shi4 ye4,should i design my novel or start a new career?
上空,shang4 kong1,overhead/in the sky
感动,gan3 dong4,emotionally move/emotionally touch
感觉,gan3 jue2,feel/sense/become aware of
好像,hao3 xiang4,as if/to seem like
计划,ji4 hua4,plan (verb or noun)/project or program (noun)
交,jiao1,hand over/deliver/pay money (c. 交通/交流/交易所)
交通,jiao1 tong1,traffic/transportation/communications
交流,jiao1 liu2,exchange/interaction/communication
教育,jiao4 yu4,educate/teach
接受,jie1 shou4,receive/accept (payments etc)
接着,jie1 zhe,then/continue (adverb)/catch and hold on
结果,jie2 guo3,outcome/result/conclusion
进行,jin4 xing2,advance/conduct
经历,jing1 li4,experience (verb and noun)
景色,jing3 se4,view/scenery/landscape
镜子,jing4 zi,mirror
开玩笑,kai1 wan2 xiao4,make fun of/mock/play a joke on/tell a joke about
看法,kan4 fa3,view/opinion/perspective
空气,kong1 qi4,air/atmosphere
零钱,ling2 qian2,small change/pocket money
其次,qi2 ci4,next/secondly
其中,qi2 zhong1,included among these
说明,shuo1 ming2,explain/illustrate/indicate
所有,suo3:2 you3,have/possess/own (verb)/all of (+noun)
提前,ti2 qian2,move to earlier date/do something ahead of time/in advance
推,tui1,push/cut/refuse/reject/decline (c. 推迟)
推迟,tui1 chi2,postpone/delay
呀,ya,surprise/emotion suffix (like 啊 except is used after a vowel)
样子,yang4 zi,appearance/manner/pattern
永远,yong3:2 yuan3,forever/eternal
知识,zhi1 shi2:,knowledge/intellectual
值得,zhi2 de,deserve/be worth (related to a meaningful matter)
这件事值得庆祝一下,zhe4 jian4 shi4 zhi2 de qing4 zhu4 yi1:2 xia4,this is something worth celebrating
只好,zhi3:2 hao3,be forced to/no better option
我不值得她，可是她只好接受我,wo3 bu4 zhi2 de ta1 : ke3 shi4 ta1 zhi3:2 hao3 jie1 shou4 wo3,i do not deserve her but she is forced to accept me
你有一些知识，看法是什么,ni3:2 you3 yi1:4 xie1 zhi1 shi4 : kan4 fa3 shi4 shen2 me,you have some knowledge what is your opinion?
我当然愿意吃汤圆和粽子,wo3 dang1 ran2 yuan4 yi4 chi1 tang1 yuan2 he2 zong4 zi,of course i am willing to eat sticky rice balls and sticky rice dumplings
我阿姨只有零钱，我叔叔可不可以推迟约会,wo3 a1 yi2 zhi3:2 you3 ling2 qian2 : wo3 shu1 shu1: ke3 bu4 ke3:2 yi3 tui1 chi2 yue1 hui4,my aunt only has change can my uncle postpone the date?
这辆坏的汽车是免费的,zhe4 liang4 huai4 de qi4 che1 shi4 mian3 fei4 de,this broken car is free
学院路,xue2 yuan4 lu4,college road
长安街,chang2 an1 jie1,long peace street
皇,huang2,emperor/king (c. 英皇道)
英皇道,ying1 huang2 dao4,king's road (hong kong)
你想去哪儿吃,ni3:2 xiang3 qu4 na3 r chi1,where would you like to go to eat?
我那儿,wo3 na4 r,my place
我不想去你那儿吃,wo3 bu4 xiang3 qu4 ni3 na4 r chi1,i do not want to go to your place to eat
我也想喝一点东西,wo3:2 ye3 xiang3 he1 yi1:4 dian3 dong1 xi1:,i also want drink something
怎么了,zen3 me le,what's wrong?/what happened?
长得像,zhang3 de xiang4,looks like (people only)
然后吗,ran2 hou4 ma,what next?/what then?/what happens after?
周年,zhou1 nian2,anniversary
我想去酒店,wo3:2 xiang3 qu4 jiu3 dian4,i would like to go to the hotel (xqj)
跟谁一起,gen1 shui2 yi1:4 qi3,together with whom?/along with whom?
现在几点钟,xian4 zai4 ji3:2 dian3 zhong1,what time is it now?
我啊,wo3 a,as for me
这么,zhe4 me,like this/in this way/this much (sim. 这样)
这样,zhe4 yang4,like this/this kind (sim. 这么)
那么,na4 me,like that/in that way/in that case (sim. 那样)
那样,na4 yang4,like that/that kind (sim. 那么)
请跟着说,qing3 gen1 zhe shuo1,please repeat
请再说一次,qing3 zai4 shuo1 yi1:2 ci4,please say it again
现在请听,xian4 zai4 qing3 ting1,please listen now
美金,mei3 jin1,us dollars/usd
喏,nuo4,here you are
一会儿见,yi1:2 hui4 r jian4,see you later/see you soon
给你的,gei3:2 ni3 de,for you
一杯啤酒多少钱,yi1:4 bei1 pi2 jiu3 duo1 shao3 qian2,how much money is one glass of beer?
我有一点儿，不是很多,wo3:2 you3 yi1:4 dian3 r : bu4:2 shi4 hen3 duo1,i have some it is not very much
是给我的吗,shi4 gei3:2 wo3 de ma,is it for me?
够,gou4,enough/sufficient (common 够了)
杀,sha1,kill/murder/attack
别动,bie2 dong4,don't move/do not move/freeze
华盛顿,hua2 sheng4 dun4,washington city
你跟你的太太在一起吗,ni3 gen1 ni3 de tai4 tai4: zai4 yi1:4 qi3 ma,are you and your wife located together?
他们有几个小孩儿,ta1 men you3:2 ji3 ge4 xiao3 hai2 r,how many children they you have?
饶,rao2,rich/abundant/add for free (c. 饶舌)
舌,she2,tongue (c. 饶舌)
饶舌,rao2 she2,talkative (adj)/blather (verb)
还好,hai2 hao3,not bad/tolerable/fine
听说,ting1 shuo1,hear something that was said
表哥,biao3 ge1,maternal older male cousin
表弟,biao3 di4,maternal younger male cousin
表姐,biao3:2 jie3,maternal older female cousin
表妹,biao3 mei4,maternal younger female cousin
堂哥,tang2 ge1,paternal older male cousin
堂弟,tang2 di4,paternal younger male cousin
堂姐,tang2 jie3,paternal older female cousin
堂妹,tang2 mei4,paternal younger female cousin
请写下来,qing3:2 xie3 xia4 lai2,please write it down
不用谢,bu4:2 yong4 xie4,no need for thanks/no need to thank
陈,chen2,lay out/display/common surname
官,guan1,official/government office (c. 警官)
警官,jing3 guan1,police officer (title)
群,qun2,group/flock/herd/pack (c. 人群)
陈警官把人群整理了,chen2 jing3 guan1 ba3 ren2 qun2 zheng3:2 li3 le,police officer chen sorts out the crowd
刘,liu2,kill/slaughter/common surname
问题被刘先生解决了,wen4 ti2 bei4 liu2 xian1 sheng1: jie3 jue2 le,the problem was solved by mr. liu
真相,zhen1 xiang4,truth about something/actual facts
商店关门了,shang1 dian4 guan1 men2 le,the stores are closed/the stores have been closed
商店有没有开门,shang1 dian4 you3 mei2 you3 kai1 men2,are the stores open?
商店开到几点钟,shang1 dian4 kai1 dao4 ji3:2 dian3 zhong1,what time do the stores open?
我姓张，叫清明,wo3 xing4 zhang1 : jiao4 qing1 ming2,my surname is zhang my name is qingming
人群,ren2 qun2,crowd
房卡,fang2 ka3,room card (hotel)
保护,bao3 hu4,protect or defend (verb)/protection (noun)
保证,bao3 zheng4,guarantee (verb or noun)/ensure
我不能保证,wo3 bu4 neng2 bao3 zheng4,i cannot guarantee it
成为,cheng2 wei2,become/turn into (sim. 变得)
变得,bian4 de,become (sim. 成为)
不过,bu4:2 guo4,but/only/merely (softer and nicer than 但是 for complaining)
起来,qi3 lai2:,stand up/get up/expressing preliminary judgment (c. 看起来)
当时,dang1 shi2,then/at that time/while
方法,fang1 fa3,way/method/solution
方面,fang1 mian4,respect/aspect/size
方向,fang1 xiang4,direction/orientation
记者,ji4 zhe3,reporter/journalist
高级,gao1 ji2,high grade/high level/advanced
付款,fu4 kuan3,pay money/payment
故意,gu4 yi4,deliberately/intentionally/on purpose
管理,guan3:2 li3,supervise/manage/administer
理解,li3:2 jie3,comprehend/understand (verb or noun)
平时,ping2 shi2,ordinarily/peacetime/normal times
生命,sheng1 ming4,life (of a living thing)
十分,shi2 fen1,completely/utterly
实在,shi2 zai4,really/actually/true
受到,shou4 dao4,receive/suffer
受不了,shou4 bu4 liao3,unbearable/cannot endure
了不起,liao3 bu4 qi3,amazing/terrific/extraordinary
特点,te4 dian3,trait/characteristic/feature
通过,tong1 guo4,by means of/via/get through/pass a test/pass legislation
完全,wan2 quan2,complete/whole/totally
往往,wang3:2 wang3,usually/in many cases
无,wu2,not to have/none (c. 无聊/无论/无形/形容词)
无形,wu2 xing2,invisible/unseen/formless (lit. no shape)
无聊,wu2 liao2,bored/boring/senseless
无论,wu2 lun4,regardless of whether ...
许多,xu3 duo1,many/much
以为,yi3 wei2,to believe something that was later incorrect/thought wrongly
友好,you3:2 hao3,friendly/amicable
于是,yu2 shi4,consequently/as a result
羽毛球,yu3 mao2 qiu2,badminton
原因,yuan2 yin1,root cause/origin of an action/reason
什么原因,shen2 me yuan2 yin1,for what reason?/why?
由,you2,to follow/because of/due to (c. 理由)
理由,li3 you2,reason/grounds/justification
真正,zhen1 zheng4,genuine/authentic/real (c. 真实)
真实,zhen1 shi2,genuine/authentic/real (c. 真正)
直接,zhi2 jie1,direct/immediate (opp. 间接)
间接,jian4 jie1,indirect (opp. 直接)
只要,zhi3 yao4,only if/so long as
主意,zhu3 yi4:,plan/idea/decision
专门,zhuan1 men2,specialist/specialized
自信,zi4 xin4,self-confidence
自然,zi4 ran2,nature/natural/naturally
当事人,dang1 shi4 ren2,people involved or implicated
当选,dang1 xuan3,to be elected
当前,dang1 qian2,current/present/modern
当面,dang1 mian4,to someone's face/in someone's presence
当初,dang1 chu1,at that time/originally
当场,dang1 chang3,at the scene/on the spot
动机,dong4 ji1,motor/motive/motivation
动手,dong4 shou3,set about a task/hit with hands/punch
动员,dong4 yuan2,mobilize or arouse (verb)/mobilization (noun)
端正,duan1 zheng4,upright/proper/regular
合法,he2 fa3,legal/legitimate (opp. 非法)
非法,fei1 fa3,illegal (opp. 合法)
服从,fu2 cong2,obey/comply/defer
听话,ting1 hua4,do what one is told/obedient
更新,geng1 xin1,renew/renovate/upgrade
公民,gong1 min2,citizen
公告,gong1 gao4,public announcement
笨,ben4,stupid/foolish/clumsy
毕业,bi4 ye4,graduate
标准,biao3:2 zhun3,standard/norm/criteria
吵,chao3,make a noise (verb)/noisy (adj)
楼上,lou2 shang4,upstairs (noun)
楼下,lou2 xia4,downstairs (noun)
上楼,shang4 lou2,go upstairs (verb)
下楼,xia4 lou2,go downstairs (verb)
诚实,cheng2 shi2,honest
惊,jing1,startle/frighten/be scared (c. 惊喜/惊奇)
惊喜,jing1 xi3,pleasant surprise
惊奇,jing1 qi2,be amazed/be surprised
行为,xing2 wei2,behavior/conduct/actions (noun)
错误,cuo4 wu4,mistake/error/false
文件,wen2 jian4,document/file
管,guan3,to care about/to control (c. 不管)
不管,bu4 guan3,regardless/no matter what
不得不,bu4 de2 bu4,have no other choice/can't help but do
耳环,er3 huan2,earrings
你长大想当什么,ni3:2 zhang3 da4 xiang3 dang1 shen2 me,what do you want to be when you grow up?
处,chu4,place/location/spot (c. 到处)
到处,dao4 chu4,everywhere/in all places
丢脸,diu1 lian3,embarrassed/humiliated (lit. lose face)
钱包,qian2 bao1,purse/wallet (lit. money bag)
登机牌,deng1 ji1 pai2,boarding pass for vehicle
车牌,che1 pai2,license plate on car
门牌,men2 pai2,door plate/house number
底,di3,bottom/base/end of a time period (c. 月底/年底)
月底,yue4 di3,end of the month/month's end
年底,nian2 di3,end of the year/year's end
地点,di4 dian3,place/site/location (smaller than 地方)
调查,diao4 cha2,investigate/survey/conduct opinion poll
观点,guan1 dian3,point of view/standpoint/idea
待,dai1 :: dai4,stay somewhere (verb & formal) :: treat/deal with/wait (c. 招待会)
呆,dai1,stay somewhere (verb & informal)/foolish or stupid (adj)
呆十四天,dai1 shi2 si4 tian1,stay for 14 days
我们要一起走,wo3 men yao4 yi1:4 qi3:2 zou3,we are going to leave together
就我一个人走,jiu4 wo3 yi1:2 ge4 ren2 zou3,i am leaving alone
几个星期,ji3 ge4 xing1 qi1,a few weeks (jxq)
普通话，怎么说,pu3 tong1 hua4 : zen3 me shuo1,how to say (phrase) in mandarin?
收到,shou1 dao4,receive/roger that
那是一家很好的饭店,na4 shi4 yi1:4 jia1 hen3:2 hao3 de fan4 dian4,that is a very good restaurant
我看了几个朋友，买了一点茶，然后吃午饭了,wo3 kan4 le ji3 ge4 peng2 you3 : mai3 le yi1:4 dian3 cha2 : ran2 hou4 chi1 wu3 fan4 le,i saw a few friends i bought a little tea and then i ate lunch (list)
我在电视上看节目,wo3 zai4 dian4 shi4 shang4 kan4 jie2 mu4,i watch shows on tv
请问，你有感冒药吗,qing3 wen4 : ni3:2 you3 gan3 mao4 yao4 ma,excuse me do you have cold medicine?
炒面,chao3 mian4,fried noodles
支,zhi1,support/sustain/raise (c. 支付)
付,fu4,pay money (c. 支付)
支付,zhi1 fu4,pay money
竟,jing4,unexpectedly (c. 竟然)
竟然,jing4 ran2,unexpectedly/to one's surprise
拿铁,na2 tie3,latte (loanword)
自动柜员机,zi4 dong4 gui4 yuan2 ji1,atm machine
陪,pei2,accompany/keep someone company (c. 失陪)
失陪,shi1 pei2,excuse me i must leave (lit. lose company)
我还没有看什么,wo3 hai2 mei2 you3 kan4 shen2 me,i have not yet seen anything (reponse to 'what' question)
那个人叫什么名字,na4 ge4 ren2 jiao4 shen2 me ming2 zi4:,what is that person's name?
葡萄,pu2 tao2:,grapes
葡萄酒,pu2 tao2: jiu3,grape wine
另,ling4,other/another/separate (c. 另外)
另外,ling4 wai4,another/additional/moreover
两个都,liang3 ge4 dou1,both (alt. 两个一起)
两个一起,liang3 ge4 yi1:4 qi3,both (alt. 两个都)
很长的时间了,hen3 chang2 de shi2 jian1 le,it has been a long time/for a long time
时间很长,shi2 jian1 hen3 chang2,it is a long time/that is a long time (in context)
大街,da4 jie1,main street/avenue
在那以前,zai4 na4 yi3 qian2,before that
工作以后,gong1 zuo4 yi3 hou4,after working
到几点钟,dao4 ji3:2 dian3 zhong1,until what time?
开到,kai1 dao4,open until
恨,hen4,hate/regret
有你的信，是谁写来的,you3:2 ni3 de xin4 : shi4 shui2 xie3 lai2 de,there is a letter for you. who wrote it?
打的,da3 di1,take a taxi/go by taxi
如果你不介意,ru2 guo3 ni3 bu4:2 jie4 yi4,if you do not mind
六点钟左右,liu4 dian3 zhong1 zuo3 you4,6 oclock more or less/around 6 oclock
剧,ju4,opera or drama (noun)/dramatic or severe (adj) (c. 京剧)
京剧,jing1 ju4,beijing opera
一路,yi1:2 lu4,all the way/entire journey (c. 一路顺风)
顺风,shun4 feng1,favorable wind/tail wind (c. 一路顺风)
一路顺风,yi1:2 lu4 shun4 feng1,have a nice trip/favorable wind all the way
我必须很早就走,wo3 bi4 xu1 hen3:2 zao3 jiu4 zou3,i must leave early
绿豆糕,lv4 dou4 gao1,mung bean cake (chinese pastry)
我要七月去南京,wo3 yao4 qi1 yue4 qu4 nan2 jing1,i am going to go to nanjing in july
这个星期或者下个星期,zhe4 ge4 xing1 qi1 huo4 zhe3 xia4 ge4 xing1 qi1,this week or next week
茶还是热的吗,cha2 hai2 shi4 re4 de ma,is the tea still hot?
这位是张先生,zhe4 wei4 shi4 zhang1 xian1 sheng1:,this honorable person is mr zhang
还要,hai2 yao4,still remaining (before verb or time duration)
一个很好的地方,yi1:2 ge4 hen3:2 hao3 de di4 fang1:,a very nice place
惜,xi1,cherish/begrudge/pity (c. 可惜)
可惜,ke3 xi1,what a pity/that's too bad/unfortunately
台北,tai2 bei3,taipei/taibei
有意思,you3 yi4 si1:,interesting
我能麻烦您把这个给张总吗,wo3 neng2 ma2 fan2: nin2 ba3 zhe4 ge4 gei3 zhang1 zong3 ma,could i bother you to give this to director zhang?
太不好意思了,tai4 bu4 hao3 yi4 si1: le,it is too embarrassing (polite response to invitation)
她今年多大,ta1 jin1 nian2 duo1 da4,how old is she this year?
我的女儿今年十四,wo3 de nv3 er2 jin1 nian2 shi2 si4,my daughter is fourteen this year
我需要打电话给有人,wo3 xu1 yao4 da3 dian4 hua4 gei3:2 you3 ren2,i need to call someone on the phone/i need to make a phone call to someone
簿,bu4,account book/register (c. 电话簿)
电话簿,dian4 hua4 bu4,telephone book
很高兴认识你,hen3 gao1 xing4 ren4 shi2: ni3,nice to meet you/happy to meet you
邮票,you2 piao4,postage stamp
拐,guai3,turn a corner/kidnap/abduct (c.向左拐/向右拐)
向左拐,xiang4 zuo3:2 guai3,turn left/turn towards the left (does not mean go left)
向右拐,xiang4 you4 guai3,turn right/turn towards the right (does not mean go right)
他们不跟我们在一起,ta1 men bu4 gen1 wo3 men zai4 yi1:4 qi3,they are not with us/they are not together with us
沿着,yan2 zhe,go along/follow
药房,yao4 fang2,pharmacy/drugstore (alt. 药店)
药店,yao4 dian4,pharmacy/drugstore (alt. 药房)
书店,shu1 dian4,bookstore
离这儿近吗,li2 zhe4 r jin4 ma,is it close to here?/is it nearby here?
一张去南京的票,yi1:4 zhang1 qu4 nan2 jing1 de piao4,one ticket to nanjing
找你，块,zhao3:2 ni3 : kuai4,in change you get ...
月台,yue4 tai2,railway platform
几号月台,ji3 hao4 yue4 tai2,which railway platform?
快车,kuai4 che1,express train/express bus
糟糕,zao1 gao1,too bad/terrible
假日,jia4 ri4,holiday/non-working day
东京,dong1 jing1,tokyo (lit. east capital)
我可以在哪儿买邮票,wo3 ke3:2 yi3 zai4 na3:2 r mai3 you2 piao4,where can i buy stamps?
我马上就来,wo3:2 ma3 shang4 jiu4 lai2,i am coming immediately/i will be right there
公共汽车比地铁慢,gong1 gong4 qi4 che1 bi3 di4 tie3 man4,the bus is slower than the subway
茶馆,cha2 guan3,tea house/tea shop
比我好,bi3:2 wo3:2 hao3,better than i
你慢慢来,ni3 man4 man4 lai2,take your time (lit. you slowly come)
保龄球,bao3 ling2 qiu2,bowling
哪儿可以,na3 er ke3:2 yi3,where may one ...?/where can one ...? (informal)
哪儿可以换钱,na3 er ke3:2 yi3 huan4 qian2,where may one exchange money?/where can one exchange money? (alt. 我可以在哪儿换钱)
商场,shang1 chang3,shopping mall/department store
你网球打了多少年了,ni3:2 wang3 qiu2 da3 le duo1 shao3 nian2 le,how many years have you been playing tennis?
十五年左右了,shi2 wu3 nian2 zuo3 you4 le,it has been 15 years more or less/about 15 years/15 years or so
附近也有一家中国银行,fu4 jin4 ye3:2 you3 yi1:4 jia1 zhong1 guo2 yin2 hang2,there is also a bank of china nearby
身上,shen1 shang4:,on the body/on hand
我只呆几天,wo3:2 zhi3 dai1 ji3 tian1,i am only staying a few days/i will only stay a few days
什么样,shen2 me yang4,what kind?
什么样的城市,shen2 me yang4 de cheng2 shi4,what kind of city?
紧张的张，清楚的清，永远的远,jin3 zhang1 de zhang1 : qing1 chu3 de qing1 : yong3:2 yuan3 de yuan3,zhang as in nervous qing as in clear yuan as in forever
我给你画一张地图,wo3 gei3:2 ni3 hua4 yi1:4 zhang1 di4 tu2,i will draw you a map/i will draw a map for you
坐船需要很多时间,zuo4 chuan2 xu1 yao4 hen3 duo1 shi2 jian1,by boat it takes a lot of time/it takes a lot of time by boat
高铁,gao1 tie3,high-speed train/high-speed rail
昨天雨下得很大,zuo2 tian1 yu3 xia4 de hen3 da4,yesterday it rained a lot
冬天很冷，夏天很热,dong1 tian1 hen3:2 leng3 : xia4 tian1 hen3 re4,winter is cold summer is hot
一般般,yi1:4 ban1 ban1,not particularly good/so-so
公交车,gong1 jiao1 che1,bus/public transport vehicle (alt. 公共汽车)
烧烤,shao1 kao3,barbecue/roast
去年我拍了很多照片,qu4 nian2 wo3 pai1 le hen3 duo1 zhao4 pian4,last year i took many photographs/i took a lot of photos last year
您做什么工作,nin2 zuo4 shen2 me gong1 zuo4,what kind of work do you do?/what do you do for work?
程,cheng2,rule/formula/journey (c. 工程师)
工程师,gong1 cheng2 shi1,engineer
部,bu4,department/section/division/mw for phones or laptops (c. 国际部)
国际部,guo2 ji4 bu4,international department
去年春天,qu4 nian2 chun1 tian1,last spring
去年五月,qu4 nian2 wu3 yue4,last may
今年夏天,jin1 nian2 xia4 tian1,this summer
今年秋天,jin1 nian2 qiu1 tian1,this autumn/this fall
明年冬天,ming2 nian2 dong1 tian1,next winter
明年九月,ming2 nian2 jiu3 yue4,next september
你呆多久,ni3 dai1 duo1 jiu3,how long are you staying?/how long will you stay? (alt. 你要呆多久)
你呆了多久,ni3 dai1 le duo1 jiu3,how long did you stay?/how long have you stayed?
你呆了多久了,ni3 dai1 le duo1 jiu3 le,how long have you been staying?
哪一个,na3 yi1:2 ge4,which one?
英语和汉语哪一个容易,ying1 yu3 he2 han4 yu3 na3 yi1:2 ge4 rong2 yi4,which one is easier english or chinese?
我打算上国语学校,wo3:2 da3 suan4 shang4 guo2 yu3 xue2 xiao4,i plan to attend chinese school
滩,tan1,beach/shoal/rapids (c. 海滩)
海滩,hai3 tan1,beaches (alt. 沙滩)
过期,guo4 qi1,be overdue/expire/exceed time limit
广东话,guang3 dong1 hua4,cantonese language
区,qu1,area/zone/region (c. 地区号/特区/区别)
区别,qu1 bie2,distinguish/differentiate (verb)/difference (noun)
地区号,di4 qu1 hao4,area code
睡得晚，起得也早,shui4 de wan3 : qi3 de ye3:2 zao3,go to sleep late and wake up early
散,san4,scatter/break up/disperse (c. 散步)
散步,san4 bu4,go for a walk (alt. 去散步)
是谁打来的,shi4 shui2 da3 lai2 de,who called?
是什么时候打来的,shi4 shen2 me shi2 hou4 da3 lai2 de,when did the call come in?
留言,liu2 yan2,leave a message
留言了吗,liu2 yan2 le ma,was there a message?
海鲜,hai3 xian1,seafood
总站,zong3 zhan4,terminus/final stop
