# chinese,pinyin,english and descriptions
有一天,you3 yi1:4 tian1,someday/one day
有的,you3 de,some of (subset of members in group)
些,xie1,plural marker/suffix for some
有些,you3 xie1,some/a few/a little/slightly (before subject | adj intensifier)
一些,yi1:4 xie1,some/a few/a little/slightly (before object)
这些,zhe4 xie1,these
那些,na4 xie1,those
上次,shang4 ci4,last time/last iteration
下次,xia4 ci4,next time/next iteration
东西,dong1 xi1:,things/stuff
什么东西,shen2 me dong1 xi1:,something?/anything?/what thing?
超,chao1,super/ultra
市,shi4,market/city (c. 超市/城市/市中心)
超市,chao1 shi4,supermarket
给,gei3,give (verb)/to or for (prep & specify verb target & used before verb)
果,guo3,fruit/result (c. 水果/如果)
水果,shui3:2 guo3,fruit
苹果,ping2 guo3,apple
瓜,gua1,melon/squash (c. 西瓜/南瓜)
西瓜,xi1 gua1,watermelon
蛋,dan4,egg/oval-shaped thing (c. 鸡蛋)
鸡,ji1,chicken/fowl (c. 鸡蛋)
鸡蛋,ji1 dan4,chicken egg
蔬菜,shu1 cai4,vegetables/produce
鲜,xian1,fresh/delicious (c. 新鲜/海鲜)
